"meZmeB","myBmeB","myZmeB","weBmeB","weZmeB","wyBmeB","wyZmeB","myBmeZ","myZmeZ","weBmeZ","weZmeZ","wyBmeZ","wyZmeZ","myZmyB","weBmyB","weZmyB","wyBmyB","wyZmyB","weBmyZ","weZmyZ","wyBmyZ","wyZmyZ","weZweB","wyBweB","wyZweB","wyBweZ","wyZweZ","wyZwyB","Glottocode"
0,0.904761904761905,0.857142857142857,0,0,0.904761904761905,0.857142857142857,0.904761904761905,0.857142857142857,0,0,0.904761904761905,0.857142857142857,0.238095238095238,0.904761904761905,0.904761904761905,0,0.238095238095238,0.857142857142857,0.857142857142857,0.238095238095238,0,0,0.904761904761905,0.857142857142857,0.904761904761905,0.857142857142857,0.238095238095238,"ache1246"
0.714285714285714,1,1,0,0.714285714285714,1,1,0.857142857142857,0.857142857142857,0.714285714285714,0,0.857142857142857,0.857142857142857,0,1,0.857142857142857,0,0,1,0.857142857142857,0,0,0.714285714285714,1,1,0.857142857142857,0.857142857142857,0,"adny1235"
0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"afri1274"
0.142857142857143,0.714285714285714,0.714285714285714,0,0.142857142857143,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0.142857142857143,0,0.857142857142857,0.857142857142857,0,0.714285714285714,0.857142857142857,0,0,0.714285714285714,0.857142857142857,0,0,0.142857142857143,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,0,"aghu1253"
0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"agua1253"
0.0769230769230769,0.615384615384615,0.692307692307692,0,0.0769230769230769,0.615384615384615,0.692307692307692,0.692307692307692,0.615384615384615,0.0769230769230769,0,0.692307692307692,0.615384615384615,0.153846153846154,0.615384615384615,0.692307692307692,0,0.153846153846154,0.692307692307692,0.615384615384615,0.153846153846154,0,0.0769230769230769,0.615384615384615,0.692307692307692,0.692307692307692,0.615384615384615,0.153846153846154,"akhv1239"
0.625,0.875,0.875,0,0.625,0.875,0.875,0.875,0.875,0.625,0,0.875,0.875,1,0.875,0.875,0,1,0.875,0.875,1,0.125,0.625,0.875,0.875,0.875,0.875,1,"akka1240"
0.4,1,0.8,0,0.4,1,0.8,1,0.8,0.4,0,1,0.8,1,1,1,0,1,0.8,0.8,1,0,0.4,1,0.8,1,0.8,1,"alba1267"
0.777777777777778,0.222222222222222,0.222222222222222,0,0.777777777777778,0.222222222222222,0.222222222222222,0.777777777777778,0.777777777777778,0.777777777777778,0,0.777777777777778,0.777777777777778,0,0.222222222222222,0.777777777777778,0,0,0.222222222222222,0.777777777777778,0,0,0.777777777777778,0.222222222222222,0.222222222222222,0.777777777777778,0.777777777777778,0,"alya1239"
0.416666666666667,0.5,0.916666666666667,0,0.416666666666667,0.5,0.916666666666667,0.75,0.5,0.416666666666667,0,0.75,0.5,0.416666666666667,0.5,0.75,0,0.416666666666667,0.916666666666667,0.5,0.416666666666667,0,0.416666666666667,0.5,0.916666666666667,0.75,0.5,0.416666666666667,"amha1245"
0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,"amis1246"
0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,"anci1242"
0.1,0.6,0.7,0,0.1,0.6,0.7,0.7,0.6,0.1,0,0.7,0.6,0.2,0.6,0.7,0,0.2,0.7,0.6,0.2,0,0.1,0.6,0.7,0.7,0.6,0.2,"ancu1238"
0.2,0.5,0.7,0,0.2,0.5,0.7,0.7,0.5,0.2,0,0.7,0.5,0.2,0.5,0.7,0,0.2,0.7,0.5,0.2,0,0.2,0.5,0.7,0.7,0.5,0.2,"anda1281"
0.2,0.5,0.7,0,0.2,0.5,0.7,0.7,0.5,0.2,0,0.7,0.5,0.2,0.5,0.7,0,0.2,0.7,0.5,0.2,0,0.2,0.5,0.7,0.7,0.5,0.2,"andi1255"
1,1,1,0,1,1,1,0.5,0.5,1,0,0.5,0.5,0,1,0.5,0,0,1,0.5,0,0,1,1,1,0.5,0.5,0,"arab1267"
0.230769230769231,0.461538461538462,0.692307692307692,0,0.230769230769231,0.461538461538462,0.692307692307692,0.615384615384615,0.538461538461538,0.230769230769231,0,0.615384615384615,0.538461538461538,0.307692307692308,0.461538461538462,0.615384615384615,0,0.307692307692308,0.692307692307692,0.538461538461538,0.307692307692308,0,0.230769230769231,0.461538461538462,0.692307692307692,0.615384615384615,0.538461538461538,0.307692307692308,"arch1244"
1,0.8,1,0,1,0.8,1,0.2,0,1,0,0.2,0,0.2,0.8,0.2,0,0.2,1,0,0.2,0,1,0.8,1,0.2,0,0.2,"assa1263"
0.538461538461538,0.307692307692308,0.846153846153846,0,0.538461538461538,0.307692307692308,0.846153846153846,0.846153846153846,0.307692307692308,0.538461538461538,0,0.846153846153846,0.307692307692308,0.538461538461538,0.307692307692308,0.846153846153846,0,0.538461538461538,0.846153846153846,0.307692307692308,0.538461538461538,0,0.538461538461538,0.307692307692308,0.846153846153846,0.846153846153846,0.307692307692308,0.538461538461538,"asut1235"
0,0.888888888888889,0.888888888888889,0,0,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0,0,0.888888888888889,0.888888888888889,0,0.888888888888889,0.888888888888889,0,0,0.888888888888889,0.888888888888889,0,0,0,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0,"atay1247"
0.1,0.6,0.7,0,0.1,0.6,0.7,0.7,0.7,0.1,0,0.7,0.7,0.2,0.6,0.7,0,0.2,0.7,0.7,0.2,0,0.1,0.6,0.7,0.7,0.7,0.2,"avar1256"
0.5,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0.5,"aves1237"
0.714285714285714,0.571428571428571,0.714285714285714,0.714285714285714,0.285714285714286,0.714285714285714,0.571428571428571,0.428571428571429,0,0.428571428571429,0.571428571428571,0.428571428571429,0.571428571428571,0.428571428571429,0.142857142857143,0.428571428571429,0.142857142857143,0.571428571428571,0.428571428571429,0.571428571428571,0.428571428571429,0.571428571428571,0.571428571428571,0,0.428571428571429,0.571428571428571,0.714285714285714,0.428571428571429,"awet1244"
0.25,0.625,0.875,0,0.25,0.625,0.875,0.75,0.875,0.25,0,0.75,0.875,0.625,0.625,0.75,0,0.625,0.875,0.875,0.625,0,0.25,0.625,0.875,0.75,0.875,0.625,"ayor1240"
1,0.6,1,0,1,0.6,1,0.8,0.8,1,0,0.8,0.8,1,0.6,0.8,0,1,1,0.8,1,0,1,0.6,1,0.8,0.8,1,"badi1246"
0.1,0.6,0.7,0,0.1,0.6,0.7,0.7,0.6,0.1,0,0.7,0.6,0.2,0.6,0.7,0,0.2,0.7,0.6,0.2,0,0.1,0.6,0.7,0.7,0.6,0.2,"bagv1239"
0.8,0,0.8,0,0.8,0,0.8,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0.8,0,0.8,0,0.8,0,0.8,0.8,0,0.8,"balo1260"
0.857142857142857,0.571428571428571,0.571428571428571,0,0.857142857142857,0.571428571428571,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0,0.714285714285714,0.857142857142857,0.714285714285714,0.571428571428571,0.714285714285714,0,0.714285714285714,0.571428571428571,0.857142857142857,0.714285714285714,0,0.857142857142857,0.571428571428571,0.571428571428571,0.714285714285714,0.857142857142857,0.714285714285714,"bann1248"
0.6,0,0.6,0,0.6,0,0.6,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0.6,0,0.6,0,0.6,0,0.6,0.6,0,0.6,"bari1297"
0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667,"basq1248"
0.777777777777778,0.555555555555556,0.777777777777778,0,0.777777777777778,0.555555555555556,0.777777777777778,0.888888888888889,0.555555555555556,0.777777777777778,0,0.888888888888889,0.555555555555556,1,0.555555555555556,0.888888888888889,0,1,0.777777777777778,0.555555555555556,1,0,0.777777777777778,0.555555555555556,0.777777777777778,0.888888888888889,0.555555555555556,1,"bata1285"
0.1,0.7,0.8,0,0.1,0.7,0.8,0.8,0.7,0.1,0,0.8,0.7,0.1,0.7,0.8,0,0.1,0.8,0.7,0.1,0,0.1,0.7,0.8,0.8,0.7,0.1,"batl1238"
0.0833333333333333,0.75,0.833333333333333,0,0.0833333333333333,0.75,0.833333333333333,0.833333333333333,0.75,0.0833333333333333,0,0.833333333333333,0.75,0.0833333333333333,0.75,0.833333333333333,0,0.0833333333333333,0.833333333333333,0.75,0.0833333333333333,0,0.0833333333333333,0.75,0.833333333333333,0.833333333333333,0.75,0.0833333333333333,"bats1242"
0.3,0,0.3,0,0.3,0,0.3,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.3,0,0.3,0,0.3,0,0.3,0.3,0,0.3,"baur1253"
0.5,0.375,0.375,0,0.5,0.375,0.375,0.5,0.875,0.5,0,0.5,0.875,0.5,0.375,0.5,0,0.5,0.375,0.875,0.5,0,0.5,0.375,0.375,0.5,0.875,0.5,"bayu1240"
0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0,0.714285714285714,0.714285714285714,0,0.714285714285714,"bela1254"
0.625,0.625,0.875,0,0.625,0.625,0.875,0.375,0.5,0.625,0,0.375,0.5,0.375,0.625,0.375,0,0.375,0.875,0.5,0.375,0,0.625,0.625,0.875,0.375,0.5,0.375,"beng1280"
