Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
341	0.615836	25	0.400000	72	0.583333	62	0.967742	5.000000	341	0.615836	0.790895	0	0.000000	0.644000	0.629750	
324	0.666667	36	0.388889	73	0.643836	67	1.000000	5.000000	324	0.666667	0.790895	0	0.000000	0.688000	0.632397	
316	0.604430	27	0.333333	67	0.686567	90	0.955556	5.000000	316	0.604430	0.790895	0	0.000000	0.664000	0.633771	
335	0.588060	40	0.275000	65	0.615385	60	1.000000	5.000000	335	0.588060	0.790895	0	0.000000	0.616000	0.633031	
345	0.631884	40	0.250000	52	0.461538	63	0.984127	5.000000	345	0.631884	0.790895	0	0.000000	0.628000	0.632829	
317	0.662461	46	0.152174	86	0.569767	51	0.980392	5.000000	317	0.662461	0.790895	0	0.000000	0.632000	0.632797	
345	0.631884	42	0.166667	58	0.724138	55	1.000000	5.000000	345	0.631884	0.790895	0	0.000000	0.644000	0.633212	
346	0.618497	34	0.264706	60	0.600000	60	1.000000	5.000000	346	0.618497	0.790895	0	0.000000	0.638000	0.633383	
335	0.614925	29	0.137931	64	0.593750	72	1.000000	5.000000	335	0.614925	0.790895	0	0.000000	0.640000	0.633611	
329	0.656535	33	0.272727	56	0.642857	82	0.987805	5.000000	329	0.656535	0.790895	0	0.000000	0.684000	0.635291	
320	0.584375	42	0.119048	83	0.626506	55	0.981818	5.000000	320	0.584375	0.790895	0	0.000000	0.596000	0.634024	
352	0.607955	32	0.187500	68	0.514706	48	0.979167	5.000000	352	0.607955	0.790895	0	0.000000	0.604000	0.633085	
343	0.539359	41	0.390244	64	0.437500	52	1.000000	5.000000	343	0.539359	0.790895	0	0.000000	0.562000	0.630931	
313	0.562300	43	0.465116	73	0.616438	71	0.985915	5.000000	313	0.562300	0.790895	0	0.000000	0.622000	0.630669	
338	0.606509	23	0.391304	78	0.615385	61	0.983607	5.000000	338	0.606509	0.790895	0	0.000000	0.644000	0.631050	
335	0.600000	33	0.272727	70	0.600000	62	1.000000	5.000000	335	0.600000	0.790895	0	0.000000	0.628000	0.630965	
338	0.633136	29	0.310345	66	0.530303	67	1.000000	5.000000	338	0.633136	0.790895	0	0.000000	0.650000	0.631479	
322	0.608696	28	0.321429	81	0.580247	69	0.971014	5.000000	322	0.608696	0.790895	0	0.000000	0.638000	0.631651	
319	0.310345	36	0.277778	70	0.571429	75	0.986667	5.000000	319	0.310345	0.790895	0	0.000000	0.446000	0.626891	
335	0.647761	45	0.177778	63	0.603175	57	1.000000	5.000000	335	0.647761	0.790895	0	0.000000	0.640000	0.627219	
341	0.671554	38	0.368421	55	0.618182	66	1.000000	5.000000	341	0.671554	0.790895	0	0.000000	0.686000	0.628652	
322	0.611801	22	0.181818	81	0.580247	75	1.000000	5.000000	322	0.611801	0.790895	0	0.000000	0.646000	0.629065	
338	0.591716	29	0.034483	69	0.579710	64	1.000000	5.000000	338	0.591716	0.790895	0	0.000000	0.610000	0.628622	
340	0.626471	34	0.235294	54	0.592593	72	1.000000	5.000000	340	0.626471	0.790895	0	0.000000	0.650000	0.629108	
321	0.601246	39	0.333333	61	0.426230	79	1.000000	5.000000	321	0.601246	0.790895	0	0.000000	0.622000	0.628950	
348	0.643678	26	0.307692	78	0.730769	48	1.000000	5.000000	348	0.643678	0.790895	0	0.000000	0.674000	0.629929	
338	0.627219	32	0.156250	73	0.547945	57	1.000000	5.000000	338	0.627219	0.790895	0	0.000000	0.628000	0.629888	
349	0.633238	28	0.321429	54	0.425926	69	1.000000	5.000000	349	0.633238	0.790895	0	0.000000	0.644000	0.630182	
312	0.506410	53	0.207547	61	0.606557	74	1.000000	5.000000	312	0.506410	0.790895	0	0.000000	0.560000	0.628750	
330	0.615152	41	0.268293	58	0.672414	71	1.000000	5.000000	330	0.615152	0.790895	0	0.000000	0.648000	0.629135	
