Steppingstone sampler:
        No Stones:                  100
        Start It:                   10000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.945638	-2.945638
1	0.950747	750	-2.908450	-5.854088
2	0.926679	750	-2.859449	-8.713536
3	0.902980	750	-2.822895	-11.536431
4	0.879648	750	-2.784098	-14.320529
5	0.856682	750	-2.739703	-17.060232
6	0.834079	750	-2.701702	-19.761934
7	0.811838	750	-2.661109	-22.423043
8	0.789957	750	-2.620742	-25.043784
9	0.768433	750	-2.582734	-27.626519
10	0.747266	750	-2.545975	-30.172494
11	0.726452	750	-2.627236	-32.799730
12	0.705989	750	-2.591761	-35.391491
13	0.685877	750	-2.556721	-37.948212
14	0.666112	750	-2.513460	-40.461672
15	0.646693	750	-2.466782	-42.928454
16	0.627618	750	-2.397245	-45.325699
17	0.608884	750	-2.370603	-47.696301
18	0.590490	750	-2.337383	-50.033685
19	0.572433	750	-2.293109	-52.326793
20	0.554712	750	-2.228894	-54.555687
21	0.537324	750	-2.141543	-56.697231
22	0.520268	750	-2.069151	-58.766382
23	0.503540	750	-2.028047	-60.794429
24	0.487139	750	-2.183465	-62.977894
25	0.471063	750	-2.055917	-65.033811
26	0.455310	750	-2.012757	-67.046568
27	0.439877	750	-1.864118	-68.910686
28	0.424762	750	-1.822359	-70.733044
29	0.409963	750	-1.870658	-72.603702
30	0.395478	750	-1.828798	-74.432501
31	0.381305	750	-1.900036	-76.332537
32	0.367440	750	-1.816776	-78.149313
33	0.353883	750	-1.754306	-79.903619
34	0.340630	750	-1.708657	-81.612275
35	0.327680	750	-1.734819	-83.347095
36	0.315030	750	-1.666344	-85.013439
37	0.302677	750	-1.669919	-86.683358
38	0.290619	750	-1.591285	-88.274643
39	0.278855	750	-1.482988	-89.757631
40	0.267381	750	-1.409971	-91.167602
41	0.256195	750	-1.369958	-92.537560
42	0.245294	750	-1.342979	-93.880539
43	0.234677	750	-1.432447	-95.312986
44	0.224340	750	-1.405156	-96.718142
45	0.214281	750	-1.256547	-97.974690
46	0.204498	750	-1.205183	-99.179873
47	0.194988	750	-1.180140	-100.360013
48	0.185749	750	-1.219852	-101.579865
49	0.176777	750	-1.216238	-102.796103
50	0.168070	750	-1.183309	-103.979412
51	0.159626	750	-1.147735	-105.127147
52	0.151441	750	-1.109805	-106.236952
53	0.143514	750	-1.077295	-107.314247
54	0.135841	750	-1.042949	-108.357196
55	0.128420	750	-1.030781	-109.387977
56	0.121247	750	-1.041598	-110.429574
57	0.114320	750	-1.015776	-111.445351
58	0.107637	750	-0.971184	-112.416534
59	0.101193	750	-1.001752	-113.418286
60	0.094986	750	-0.926995	-114.345281
61	0.089014	750	-0.846301	-115.191582
62	0.083273	750	-0.811547	-116.003129
63	0.077760	750	-0.769182	-116.772311
64	0.072472	750	-0.783490	-117.555802
65	0.067406	750	-0.811272	-118.367074
66	0.062558	750	-0.734484	-119.101559
67	0.057926	750	-0.632501	-119.734060
68	0.053506	750	-0.728545	-120.462605
69	0.049295	750	-0.659614	-121.122219
70	0.045289	750	-0.584945	-121.707163
71	0.041485	750	-0.592598	-122.299761
72	0.037880	750	-0.602930	-122.902691
73	0.034469	750	-0.533876	-123.436567
74	0.031250	750	-0.589349	-124.025915
75	0.028218	750	-0.509885	-124.535801
76	0.025370	750	-0.542314	-125.078114
77	0.022702	750	-0.462913	-125.541028
78	0.020209	750	-0.390916	-125.931944
79	0.017889	750	-0.340604	-126.272548
80	0.015736	750	-0.359245	-126.631794
81	0.013746	750	-0.300713	-126.932507
82	0.011916	750	-0.320508	-127.253015
83	0.010240	750	-0.276281	-127.529295
84	0.008714	750	-0.296945	-127.826240
85	0.007334	750	-0.225035	-128.051276
86	0.006093	750	-0.244294	-128.295569
87	0.004988	750	-0.247396	-128.542965
88	0.004013	750	-0.172963	-128.715929
89	0.003162	750	-0.171829	-128.887757
90	0.002430	750	-0.176643	-129.064401
91	0.001810	750	-0.360572	-129.424973
92	0.001296	750	-0.182460	-129.607433
93	0.000882	750	-0.081030	-129.688463
94	0.000559	750	-0.094062	-129.782525
95	0.000320	750	-0.115997	-129.898522
96	0.000156	750	-0.046270	-129.944793
97	0.000057	750	-0.033650	-129.978443
98	0.000010	750	-0.020825	-129.999268
99	0.000000	750	-0.005089	-130.004356
Log marginal likelihood:	-130.004356
