Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
317	0.586751	45	0.355556	69	0.434783	69	0.985507	5.000000	317	0.586751	0.220124	0	0.000000	0.600000	0.584135	
288	0.416667	43	0.209302	83	0.602410	86	0.988372	5.000000	288	0.416667	0.220124	0	0.000000	0.528000	0.581583	
315	0.612698	47	0.170213	68	0.676471	70	0.985714	5.000000	315	0.612698	0.220124	0	0.000000	0.632000	0.583775	
313	0.498403	42	0.166667	68	0.411765	77	0.987013	5.000000	313	0.498403	0.220124	0	0.000000	0.534000	0.581702	
310	0.629032	37	0.324324	78	0.628205	75	1.000000	5.000000	310	0.629032	0.220124	0	0.000000	0.662000	0.584913	
278	0.327338	51	0.215686	91	0.648352	80	0.975000	5.000000	278	0.327338	0.220124	0	0.000000	0.478000	0.580801	
285	0.200000	44	0.090909	97	0.690722	74	0.972973	5.000000	285	0.200000	0.220124	0	0.000000	0.400000	0.574106	
306	0.258170	58	0.224138	71	0.690141	65	1.000000	5.000000	306	0.258170	0.220124	0	0.000000	0.412000	0.568317	
316	0.212025	58	0.086207	51	0.764706	75	0.986667	5.000000	316	0.212025	0.220124	0	0.000000	0.370000	0.561479	
278	0.208633	37	0.189189	99	0.737374	86	0.988372	5.000000	278	0.208633	0.220124	0	0.000000	0.446000	0.557629	
314	0.582803	39	0.205128	80	0.700000	67	0.985075	5.000000	314	0.582803	0.220124	0	0.000000	0.626000	0.559835	
318	0.606918	47	0.106383	75	0.653333	60	1.000000	5.000000	318	0.606918	0.220124	0	0.000000	0.614000	0.561527	
335	0.594030	37	0.189189	72	0.680556	56	1.000000	5.000000	335	0.594030	0.220124	0	0.000000	0.622000	0.563360	
333	0.669670	50	0.240000	60	0.750000	57	0.982456	5.000000	333	0.669670	0.220124	0	0.000000	0.672000	0.566555	
303	0.590759	25	0.280000	87	0.551724	85	0.988235	5.000000	303	0.590759	0.220124	0	0.000000	0.636000	0.568539	
322	0.602484	26	0.153846	65	0.738462	87	1.000000	5.000000	322	0.602484	0.220124	0	0.000000	0.666000	0.571246	
324	0.595679	34	0.205882	54	0.629630	88	0.965909	5.000000	324	0.595679	0.220124	0	0.000000	0.638000	0.573050	
320	0.609375	52	0.346154	64	0.609375	64	0.984375	5.000000	320	0.609375	0.220124	0	0.000000	0.630000	0.574549	
323	0.523220	53	0.226415	54	0.703704	70	1.000000	5.000000	323	0.523220	0.220124	0	0.000000	0.578000	0.574637	
310	0.538710	53	0.132075	73	0.630137	64	1.000000	5.000000	310	0.538710	0.220124	0	0.000000	0.568000	0.574471	
337	0.623145	36	0.250000	59	0.491525	68	1.000000	5.000000	337	0.623145	0.220124	0	0.000000	0.632000	0.575874	
334	0.613772	42	0.142857	59	0.525424	65	0.984615	5.000000	334	0.613772	0.220124	0	0.000000	0.612000	0.576734	
325	0.470769	58	0.275862	50	0.640000	67	0.985075	5.000000	325	0.470769	0.220124	0	0.000000	0.534000	0.575741	
343	0.632653	29	0.413793	68	0.602941	60	0.983333	5.000000	343	0.632653	0.220124	0	0.000000	0.658000	0.577610	
311	0.408360	33	0.212121	82	0.646341	74	0.986486	5.000000	311	0.408360	0.220124	0	0.000000	0.520000	0.576330	
320	0.262500	39	0.102564	60	0.650000	81	1.000000	5.000000	320	0.262500	0.220124	0	0.000000	0.416000	0.572845	
294	0.282313	53	0.150943	81	0.691358	72	1.000000	5.000000	294	0.282313	0.220124	0	0.000000	0.438000	0.569976	
305	0.347541	41	0.195122	83	0.662651	71	0.971831	5.000000	305	0.347541	0.220124	0	0.000000	0.476000	0.568018	
316	0.680380	48	0.270833	71	0.605634	65	0.984615	5.000000	316	0.680380	0.220124	0	0.000000	0.670000	0.570099	
310	0.535484	56	0.285714	74	0.459459	60	1.000000	5.000000	310	0.535484	0.220124	0	0.000000	0.552000	0.569737	
324	0.638889	43	0.325581	62	0.629032	71	1.000000	5.000000	324	0.638889	0.220124	0	0.000000	0.662000	0.571546	
336	0.636905	42	0.309524	64	0.531250	58	0.982759	5.000000	336	0.636905	0.220124	0	0.000000	0.636000	0.572786	
