Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
339	0.613569	16	0.625000	87	0.425287	58	0.931034	5.000000	339	0.613569	0.545660	0	0.000000	0.618000	0.726217	
351	0.609687	11	0.636364	67	0.507463	71	1.000000	5.000000	351	0.609687	0.545660	0	0.000000	0.652000	0.722843	
325	0.676923	26	0.538462	76	0.513158	73	0.945205	5.000000	325	0.676923	0.545660	0	0.000000	0.684000	0.721155	
329	0.601824	23	0.565217	70	0.300000	78	1.000000	5.000000	329	0.601824	0.545660	0	0.000000	0.620000	0.716940	
336	0.672619	20	0.650000	75	0.386667	69	0.985507	5.000000	336	0.672619	0.545660	0	0.000000	0.672000	0.715143	
318	0.628931	18	0.722222	80	0.562500	84	1.000000	5.000000	318	0.628931	0.545660	0	0.000000	0.684000	0.713945	
317	0.637224	26	0.576923	88	0.465909	69	0.971014	5.000000	317	0.637224	0.545660	0	0.000000	0.650000	0.711577	
332	0.617470	16	0.625000	83	0.457831	69	1.000000	5.000000	332	0.617470	0.545660	0	0.000000	0.644000	0.709164	
341	0.627566	19	0.631579	70	0.457143	70	1.000000	5.000000	341	0.627566	0.545660	0	0.000000	0.656000	0.707331	
317	0.668770	28	0.571429	84	0.488095	71	1.000000	5.000000	317	0.668770	0.545660	0	0.000000	0.680000	0.706420	
361	0.673130	16	0.750000	57	0.614035	66	1.000000	5.000000	361	0.673130	0.545660	0	0.000000	0.712000	0.706600	
320	0.643750	30	0.400000	64	0.500000	86	0.988372	5.000000	320	0.643750	0.545660	0	0.000000	0.670000	0.705456	
353	0.651558	21	0.523810	68	0.617647	58	0.982759	5.000000	353	0.651558	0.545660	0	0.000000	0.680000	0.704685	
347	0.625360	22	0.454545	63	0.396825	68	0.985294	5.000000	347	0.625360	0.545660	0	0.000000	0.638000	0.702723	
335	0.623881	23	0.565217	74	0.391892	68	0.985294	5.000000	335	0.623881	0.545660	0	0.000000	0.636000	0.700817	
355	0.597183	14	0.428571	66	0.484848	65	0.984615	5.000000	355	0.597183	0.545660	0	0.000000	0.628000	0.698795	
331	0.649547	27	0.629630	72	0.444444	70	0.971429	5.000000	331	0.649547	0.545660	0	0.000000	0.664000	0.697854	
353	0.614731	22	0.727273	55	0.400000	70	0.985714	5.000000	353	0.614731	0.545660	0	0.000000	0.648000	0.696542	
330	0.657576	31	0.548387	76	0.394737	63	1.000000	5.000000	330	0.657576	0.545660	0	0.000000	0.654000	0.695452	
335	0.600000	27	0.666667	70	0.285714	68	0.970588	5.000000	335	0.600000	0.545660	0	0.000000	0.610000	0.693315	
344	0.619186	20	0.600000	51	0.529412	85	1.000000	5.000000	344	0.619186	0.545660	0	0.000000	0.674000	0.692844	
