Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
327	0.357798	48	0.020833	58	0.241379	67	0.925373	2.347555	327	0.357798	0.135033	0	0.000000	0.388000	0.346729	
307	0.328990	52	0.076923	68	0.602941	73	0.945205	2.347555	307	0.328990	0.135033	0	0.000000	0.430000	0.350514	
319	0.300940	45	0.000000	56	0.642857	80	0.937500	2.347555	319	0.300940	0.135033	0	0.000000	0.414000	0.353274	
329	0.288754	44	0.068182	59	0.610169	68	0.970588	2.347555	329	0.288754	0.135033	0	0.000000	0.400000	0.355220	
336	0.309524	40	0.050000	71	0.563380	53	0.924528	2.347555	336	0.309524	0.135033	0	0.000000	0.390000	0.356611	
306	0.307190	67	0.044776	69	0.550725	58	0.965517	2.347555	306	0.307190	0.135033	0	0.000000	0.382000	0.357588	
335	0.337313	52	0.153846	47	0.553191	66	0.939394	2.347555	335	0.337313	0.135033	0	0.000000	0.418000	0.359825	
304	0.325658	58	0.086207	68	0.588235	70	0.957143	2.347555	304	0.325658	0.135033	0	0.000000	0.422000	0.362046	
307	0.328990	69	0.043478	60	0.716667	64	0.953125	2.347555	307	0.328990	0.135033	0	0.000000	0.416000	0.363906	
324	0.302469	49	0.000000	63	0.698413	64	0.953125	2.347555	324	0.302469	0.135033	0	0.000000	0.406000	0.365309	
311	0.311897	62	0.096774	77	0.545455	50	0.940000	2.347555	311	0.311897	0.135033	0	0.000000	0.384000	0.365912	
307	0.306189	64	0.062500	61	0.688525	68	0.926471	2.347555	307	0.306189	0.135033	0	0.000000	0.406000	0.367165	
304	0.292763	78	0.000000	64	0.578125	54	0.981481	2.347555	304	0.292763	0.135033	0	0.000000	0.358000	0.366887	
305	0.295082	77	0.064935	68	0.588235	50	0.940000	2.347555	305	0.295082	0.135033	0	0.000000	0.364000	0.366802	
316	0.231013	59	0.033898	63	0.428571	62	0.983871	2.347555	316	0.231013	0.135033	0	0.000000	0.326000	0.365636	
