"","label_","frequency","diversity","centrality","strength","type"
"1","0",31,0.495,3,15,"g0"
"2","1",10,0.34,4,11,"g0"
"3","2",26,0.238185255198488,6,25,"g0"
"4","3",21,0.395,5,15,"g0"
"5","4",32,0.817777777777778,4,14,"g0"
"6","5",31,0.186666666666667,3,14,"g0"
"7","6",16,0.6484375,2,7,"g0"
"8","7",31,0.428888888888889,3,24,"g0"
"9","8",15,0.524444444444444,2,18,"g0"
"10","9",24,0.847645429362881,1,2,"g0"
"11","10",20,0.761245674740484,4,29,"g0"
"12","11",39,0.925714285714286,3,30,"g0"
"13","12",11,0.8,2,24,"g0"
"14","13",40,0.300554016620499,2,16,"g0"
"15","14",17,0.714285714285714,1,6,"g0"
"16","15",32,0.806640625,1,6,"g0"
