,glottocode,label_,outlier_prob,cluster_prob,x,y
0,ache1246,0,0.0,1.0,0.9960432570903011,-1.4590551359251926
1,adny1235,7,0.0,1.0,-0.8676830846569129,0.9008982298565489
2,afri1274,6,0.0,1.0,2.0642087050960534,1.8468880600429796
3,aghu1253,0,0.0,1.0,2.29169672361432,-1.3023243704441385
4,agua1253,6,0.0,1.0,1.5996143160910725,-0.9481065260595775
5,akhv1239,6,,0.0,1.7287542451678264,-0.326220545662627
6,alba1267,6,0.0,1.0,2.4013967658584794,2.2863365288415913
7,alya1239,7,0.0,1.0,0.40931922693902106,-0.8335741465273436
8,amha1245,7,0.0,1.0,-0.47230928442753367,-0.17987888231769159
9,anci1242,6,0.0,1.0,1.7678127262887384,-0.6603630969321213
10,ancu1238,6,0.0,1.0,0.7439064718014564,-0.9727050487572685
11,anda1281,6,0.0,1.0,0.6202472538959338,-0.12516907893042833
12,andi1255,6,0.0,1.0,0.6202472538959338,-0.12516907893042833
13,anga1316,6,0.0,1.0,0.7496339627622596,-1.257028983328471
14,arab1267,1,0.0,1.0,0.2926473741190587,-1.7461140101890855
15,arch1244,1,0.0,1.0,0.6934477485760691,-1.665034221178875
16,assa1263,6,,0.0,2.2229014353805696,0.3764413094116564
17,asut1235,7,0.0,1.0,-1.047473355652834,2.358474032311972
18,avar1256,6,0.0,1.0,2.42018939072683,-0.9009311791617547
19,aves1237,6,0.0,1.0,1.0558844289185232,-1.0765392177538506
20,ayor1240,6,0.0,1.0,0.6276785685933151,-1.118944510557354
21,bagv1239,6,0.0,1.0,0.17728441209716436,-0.8682530955222171
22,band1339,6,0.0,1.0,1.5773599258822446,1.8843021686906556
23,bann1248,-1,0.10000000000000012,0.0,-2.4711536430520504,0.7122467311166627
24,bari1297,6,0.0,1.0,0.3173460025211101,-0.6458035651628363
25,basq1248,0,0.0,1.0,1.0017851927010597,-2.0105698996223222
26,bata1285,-1,0.0,0.0,-0.34874917561986096,0.1991836048354848
27,batl1238,6,0.0,1.0,0.4231303909003059,-1.2985954765639576
28,bats1242,0,0.0,1.0,2.475954300800711,-1.3590749635518702
29,bela1254,6,0.0,1.0,1.5548671808338566,-0.7077628830511546
